,followers_count,in_reply_to_screen_name,created_at,text,likes,location,author,_id,retweet_count,type
4599,6,N/A,2020-03-01 09:13:54,"b""RT @CMRNewsAgency: Gov't orders the execution of Danjuma, one of the main persons who informed the @UN and @HRW  on the Ngarbuh massacre by\xe2\x80\xa6""",0,Cameroon,Tboy63651118,1234044179585609729,201,Retweet
4600,102,N/A,2020-03-01 09:13:12,b'RT @YvonneMor1: 2) #SouthernCameroons eye witnesses excuted 4 granting this interview. BBC interview to human rights watch director for Cmr\xe2\x80\xa6',0,,DHAambazoniago1,1234044001986195456,19,Retweet
4601,911,N/A,2020-03-01 09:02:46,b'RT @innochia: For how much longer do we endure the mayhem from the beastial regime of #genocidairePaulBiya? For those who think they are ex\xe2\x80\xa6',0,,franjoe51,1234041376783900674,44,Retweet
4602,1102,N/A,2020-03-01 08:56:34,"b""RT @dcmartins26: They're at it again. All these so called Human Rights groups and @UN are just feeding off the suffering and pain of innoce\xe2\x80\xa6""",0,Ambazonia,Naneve2,1234039817748582401,10,Retweet
4603,362,N/A,2020-03-01 08:53:48,b'RT @Mimimefo237: Ngarbuh Massacre whistleblower killed and abandoned in Bui\n\nOther witnesses as well as survivors of the Ngarbuh massacre a\xe2\x80\xa6',0,Douala,AgePeet,1234039123205292032,172,Retweet
4604,370,N/A,2020-03-01 08:51:38,b'RT @PatrickNjwoman: Dear @FLOTUS women and children confronting a #genocide in English Speaking Southern #Cameroons appeal to have your voi\xe2\x80\xa6',0, italy,ntokosuzzyayo,1234038577065078785,37,Retweet
4605,5301,HMajestymimi,2020-03-01 08:49:16,b'@HMajestymimi Please; we\xe2\x80\x99re still mourning them but does it mean we should ignore this other ill because of that on\xe2\x80\xa6 https://t.co/PH6vRxI0Ez',3,Somewhere here,BernieWanzie,1234037981092159489,0,Reply
4606,291,N/A,2020-03-01 08:48:24,"b""RT @CMRNewsAgency: Gov't orders the execution of Danjuma, one of the main persons who informed the @UN and @HRW  on the Ngarbuh massacre by\xe2\x80\xa6""",0,Africa,ConradAce1,1234037761587515392,201,Retweet
4607,7935,N/A,2020-03-01 08:46:56,"b'RT @Sebastien_Nadot: On Oct. 2019, I asked that an international investigation be carried out in #Cameroon, taking into account the risks o\xe2\x80\xa6'",0,"Toulouse, France",Sebastien_Nadot,1234037393671512064,109,Retweet
4608,205,N/A,2020-03-01 08:45:52,b'RT @pabiedu1: The int\xe2\x80\x99l community is speaking about the Ngarbuh Massacre. #SouthernCameroonians are mourning! what is next? Who will #StopT\xe2\x80\xa6',0,"Munich, Bavaria",PatrickNjwoman,1234037124485308417,65,Retweet
4609,205,N/A,2020-03-01 08:45:47,"b""RT @WestCameroons: #Cameroon : At last Paul Biya's Commission of Inquiry in #Ngarbuh reveals its TRUE mission;(Destruction of Evidence) coo\xe2\x80\xa6""",0,"Munich, Bavaria",PatrickNjwoman,1234037101731229703,20,Retweet
4610,205,N/A,2020-03-01 08:45:11,"b""RT @minister_sylva: While the world is still to contain Ngarbuh Massacre by Mr Biya's military,  they have again done it in Babanki . All i\xe2\x80\xa6""",0,"Munich, Bavaria",PatrickNjwoman,1234036952535621632,70,Retweet
4611,158,N/A,2020-03-01 08:44:52,"b'RT @sabastianyuven: Mallam Danjuma alias DG, who granted an interview to the UN humanitarian persons about the Ngarbuh massacre in #Souther\xe2\x80\xa6'",0,,dstahsoh,1234036871757467649,36,Retweet
4612,205,N/A,2020-03-01 08:44:51,b'RT @Mimimefo237: Ngarbuh Massacre whistleblower killed and abandoned in Bui\n\nOther witnesses as well as survivors of the Ngarbuh massacre a\xe2\x80\xa6',0,"Munich, Bavaria",PatrickNjwoman,1234036869194829824,172,Retweet
4613,158,N/A,2020-03-01 08:44:47,"b""RT @CMRNewsAgency: Gov't orders the execution of Danjuma, one of the main persons who informed the @UN and @HRW  on the Ngarbuh massacre by\xe2\x80\xa6""",0,,dstahsoh,1234036851410964480,201,Retweet
4614,158,N/A,2020-03-01 08:44:36,"b""RT @minister_sylva: While the world is still to contain Ngarbuh Massacre by Mr Biya's military,  they have again done it in Babanki . All i\xe2\x80\xa6""",0,,dstahsoh,1234036804237627392,70,Retweet
4615,205,N/A,2020-03-01 08:44:28,"b'RT @sabastianyuven: Breaking:Mallam Danjuma alias DG, who granted an interview to the UN humanitarian persons about the Ngarbuh massacre in\xe2\x80\xa6'",0,"Munich, Bavaria",PatrickNjwoman,1234036772633534464,22,Retweet
